original_path,normalized_path,position,raw_value,name,type,source,confidence
/hr/employees/emp_101,/hr/employees/{employee_id},2,emp_101,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_102,/hr/employees/{employee_id},2,emp_102,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_103,/hr/employees/{employee_id},2,emp_103,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_104,/hr/employees/{employee_id},2,emp_104,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_105,/hr/employees/{employee_id},2,emp_105,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_106,/hr/employees/{employee_id},2,emp_106,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_107,/hr/employees/{employee_id},2,emp_107,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_108,/hr/employees/{employee_id},2,emp_108,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_109,/hr/employees/{employee_id},2,emp_109,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_110,/hr/employees/{employee_id},2,emp_110,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_111,/hr/employees/{employee_id},2,emp_111,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_112,/hr/employees/{employee_id},2,emp_112,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_113,/hr/employees/{employee_id},2,emp_113,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_114,/hr/employees/{employee_id},2,emp_114,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_115,/hr/employees/{employee_id},2,emp_115,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_116,/hr/employees/{employee_id},2,emp_116,employee_id,prefixed_resource_id,prefix_rules,0.88
/hr/employees/emp_117,/hr/employees/{employee_id},2,emp_117,employee_id,prefixed_resource_id,prefix_rules,0.88
