original_path,normalized_path,raw_value,name,type,source,confidence
/shop/carts/cart_7001/items/item_1,/shop/carts/{cart_id}/items/{resource_id},item_1,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/shop/carts/cart_7002/items/item_1,/shop/carts/{cart_id}/items/{resource_id},item_1,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/shop/carts/cart_7003/items/item_1,/shop/carts/{cart_id}/items/{resource_id},item_1,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/shop/carts/cart_7004/items/item_1,/shop/carts/{cart_id}/items/{resource_id},item_1,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/shop/carts/cart_7005/items/item_1,/shop/carts/{cart_id}/items/{resource_id},item_1,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/shop/carts/cart_7006/items/item_1,/shop/carts/{cart_id}/items/{resource_id},item_1,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/shop/carts/cart_7007/items/item_1,/shop/carts/{cart_id}/items/{resource_id},item_1,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/shop/carts/cart_7008/items/item_1,/shop/carts/{cart_id}/items/{resource_id},item_1,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/shop/carts/cart_7009/items/item_1,/shop/carts/{cart_id}/items/{resource_id},item_1,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/shop/carts/cart_7010/items/item_1,/shop/carts/{cart_id}/items/{resource_id},item_1,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_701,/gadgets/items/{resource_id},xqz_701,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_702,/gadgets/items/{resource_id},xqz_702,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_703,/gadgets/items/{resource_id},xqz_703,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_704,/gadgets/items/{resource_id},xqz_704,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_705,/gadgets/items/{resource_id},xqz_705,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_706,/gadgets/items/{resource_id},xqz_706,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_707,/gadgets/items/{resource_id},xqz_707,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_708,/gadgets/items/{resource_id},xqz_708,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_709,/gadgets/items/{resource_id},xqz_709,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_710,/gadgets/items/{resource_id},xqz_710,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_711,/gadgets/items/{resource_id},xqz_711,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_712,/gadgets/items/{resource_id},xqz_712,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_713,/gadgets/items/{resource_id},xqz_713,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_714,/gadgets/items/{resource_id},xqz_714,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/gadgets/items/xqz_715,/gadgets/items/{resource_id},xqz_715,resource_id,prefixed_resource_id,prefix_rules_ambiguous,0.45
/blog/posts/guide-python-400,/blog/posts/{post_id},guide-python-400,post_id,slug_with_id,context_rules,0.75
/blog/posts/astuces-normalisation-401,/blog/posts/{post_id},astuces-normalisation-401,post_id,slug_with_id,context_rules,0.75
/blog/posts/top-10-api-402,/blog/posts/{post_id},top-10-api-402,post_id,slug_with_id,context_rules,0.75
/blog/posts/retour-experience-403,/blog/posts/{post_id},retour-experience-403,post_id,slug_with_id,context_rules,0.75
/blog/posts/tutoriel-fastapi-404,/blog/posts/{post_id},tutoriel-fastapi-404,post_id,slug_with_id,context_rules,0.75
